商品名称,价格,商品链接
Kyrie 3 EP男子篮球鞋,￥899,https://store.nike.com/cn/zh_cn/pd/kyrie-3-ep-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-jnTpMv4e/pid-12020384/pgid-11393222
Kobe Bryant All-Star Edition Authentic JerseyJordan NBA Connected Jersey 男子球衣,"￥1,499",https://store.nike.com/cn/zh_cn/pd/kobe-bryant-all-star-edition-authentic-jersey-jordan-nba-connected-jersey-%E7%94%B7%E5%AD%90%E7%90%83%E8%A1%A3-G9KQxk/pid-12119482/pgid-12416841
Air Jordan 1 RET HI PREM复刻女子运动鞋,"￥1,199",https://store.nike.com/cn/zh_cn/pd/air-jordan-1-ret-hi-prem-%E5%A4%8D%E5%88%BB%E5%A5%B3%E5%AD%90%E8%BF%90%E5%8A%A8%E9%9E%8B-J4gdXK/pid-12264155/pgid-12283206
Apple Watch Nike+ Series 3（GPS + 蜂窝网络）42 毫米跑步手表,"￥3,488",https://store.nike.com/cn/zh_cn/pd/apple-watch-series-3%EF%BC%88gps-%E8%9C%82%E7%AA%9D%E7%BD%91%E7%BB%9C%EF%BC%8942-%E6%AF%AB%E7%B1%B3%E8%B7%91%E6%AD%A5%E6%89%8B%E8%A1%A8/pid-12326384/pgid-12293982
PG 1 EP男子篮球鞋,￥849,https://store.nike.com/cn/zh_cn/pd/pg-1-ep-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-1NJJWh/pid-11982541/pgid-12412854
Stephen Curry All-Star Edition Authentic Jersey男子 Jordan NBA Connected 球衣,"￥1,499",https://store.nike.com/cn/zh_cn/pd/stephen-curry-all-star-edition-authentic-jersey-jordan-nba-connected-%E7%90%83%E8%A1%A3-mdNw44/pid-12001315/pgid-12416837
PG 1 EP男子篮球鞋,￥849,https://store.nike.com/cn/zh_cn/pd/pg-1-ep-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-SnVs41/pid-11823694/pgid-12413718
PG 1 EP男子篮球鞋,￥849,https://store.nike.com/cn/zh_cn/pd/pg-1-ep-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-6DMstj/pid-11936150/pgid-12413706
PG 1 EP男子篮球鞋,￥849,https://store.nike.com/cn/zh_cn/pd/pg-1-ep-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-Gbc1PV/pid-11982542/pgid-12413767
PG 1 EP男子篮球鞋,￥849,https://store.nike.com/cn/zh_cn/pd/pg-1-ep-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-4VTnndXX/pid-11823692/pgid-11554318
PG 1 iD篮球鞋,￥949,https://store.nike.com/cn/zh_cn/product/pg1-id/?piid=44143&pbid=336604732
Russell Westbrook All-Star Edition Authentic Jersey男子 Jordan NBA Connected 球衣,"￥1,499",https://store.nike.com/cn/zh_cn/pd/russell-westbrook-all-star-edition-authentic-jersey-jordan-nba-connected-%E7%90%83%E8%A1%A3-kv62T7/pid-12001317/pgid-12416839
Jordan Ultra Fly 2 X男子篮球鞋,"￥1,099",https://store.nike.com/cn/zh_cn/pd/jordan-ultra-fly-2-10-%E7%94%B7%E5%AD%90%E7%AF%AE%E7%90%83%E9%9E%8B-0nTg3q3r/pid-11856660/pgid-11629746
金州勇士队 (Kevin Durant) Icon Edition AuthenticNike NBA Connected Jersey 男子球衣,"￥1,299",https://store.nike.com/cn/zh_cn/pd/%E9%87%91%E5%B7%9E%E5%8B%87%E5%A3%AB%E9%98%9F-icon-edition-authentic-jersey-nba-connected-jersey-%E7%94%B7%E5%AD%90%E7%90%83%E8%A1%A3/pid-11818000/pgid-12399056
