问题发生时间,平台名称,所在地区,上线时间,出问题原因,url,注册资本,法人,风险暴露时间,注册人数,筹集资金,待收金额,现状
2017/2/14,牛气贷,上海市黄浦区,--,平台失联,https://www.p2peye.com/thread-948456-1-1.html,5000万元人民币,陈刚,2016年12月15日,不详,不详,不详,网站无法访问
2017/3/22,中图在线,上海市浦东新区,--,平台失联,https://www.p2peye.com/thread-966101-1-1.html,80000万元人民币,魏春慧,不详,不详,不详,不详,网站无法访问
2017/4/6,民泰财富,浙江省温州市,2015/4/13,平台失联,https://www.p2peye.com/thread-972614-1-1.html,6000万元人民币,池伟,不详,不详,不详,不详,网站无法访问 
2017/3/29,桂银联,北京市东城区,2015/1/27,平台失联,https://www.p2peye.com/thread-969551-1-1.html,10000万元人民币,朱清文,不详,不详,不详,不详,网站无法访问
2017/2/22,互联贷,北京市东城区,2014/6/13,平台失联,https://www.p2peye.com/thread-952222-1-1.html,1000万元人民币,黄静,2014年6月13日,不详,不详,不详,连续多日联系不上，客服电话回应不是该平台
2017/2/14,沣鸿财富,北京市海淀区,--,平台失联,https://www.p2peye.com/thread-948443-1-1.html,5000万元 人民币,邓伟成,2017年2月4日,不详,不详,不详,网站无法访问
2017/2/16,泰牛理财,上海市浦东新区,2016/3/1,平台失联,https://www.p2peye.com/thread-949441-1-1.html,2000万元人民币,胡雄飞,不详,不详,不详,不详,连续多日联系不上，客服电话无法接通
2017/2/20,来财街,上海市黄浦区,2014/10/8,平台失联,https://www.p2peye.com/thread-951007-1-1.html,10000万元人民币,万金枢,2017年1月18日,158617 位,270635930.00 元,不详,连续多日联系不上，客服电话无法接通
2017/4/5,真理财,上海市黄浦区,2014/5/4,平台失联,https://www.p2peye.com/thread-972179-1-1.html?highlight=%D5%E6%C0%ED%B2%C6,500万元人民币,张建森,不详,不详,不详,不详,网站无法访问
2017/3/24,华联保利网,上海市闸北区,2016/7/1,警方介入,https://www.p2peye.com/thread-967238-1-1.html,#NAME?,朱孟建,2017年2月27日,"562,243人","1,065,102,389元",不详,警方介入
2017/3/29,森泽资产,上海市浦东新区,--,平台失联,https://www.p2peye.com/thread-969543-1-1.html,10000万元人民币,刘帅宏,2017年1月26日,不详,不详,不详,网站无法访问，长期显示网站升级中
2017/3/31,瑞宝合资,北京市朝阳区,--,平台失联,https://www.p2peye.com/thread-970738-1-1.html,50000万元人民币,不祥,2017年3月31日,8021人,785432元,不详,连续多日联系不上
2017/2/28,新付易贷,广东省深圳市,2016/10/12,平台失联,https://www.p2peye.com/thread-954972-1-1.html,"8000万元人民币 
",王玉东,2017年2月25日,不详,不详,不详,网站无法访问
2017/2/16,海赢理财,北京市通州区,--,平台失联,https://www.p2peye.com/thread-949413-1-1.html,5000万元人民币,崔永忠,不详,不详,不详,不详,网站无法访问
2017/3/14,多美贷,北京市东城区,2014/9/15,,https://www.p2peye.com/thread-961802-1-1.html,1000万元人民币,赵博宇,2016年11月6日,不详,不详,不详,网站无法访问
2017/2/14,淘金聚宝,湖南省湘潭市,--,平台失联,https://www.p2peye.com/thread-948460-1-1.html,2000万元人民币,肖定坤,不详,不详,不详,不详,连续多日联系不上，大量到期标的显示还款中
2017/2/14,奕诚金融,广东省广州市,2014/4/28,平台失联,https://www.p2peye.com/thread-948488-1-1.html,1000万元人民币,李华,不详,"3,809人","290,568,191元",不详,连续多日联系不上，客服电话无人接听，网站标的显示已还完
2017/4/6,利合贷,江西省上饶市,2016/9/28,平台失联,https://www.p2peye.com/thread-972657-1-1.html,2000万元人民币,张伯丹,不详,不详,不详,不详,网站无法访问
2017/2/22,钱海湾,广东省深圳市,2014/12/12,提现困难,https://www.p2peye.com/thread-952221-1-1.html,5000万元人民币,李会权,2017年2月15日,不详,2亿 3765万,428万 1535,发布提现困难公告
2017/2/16,联融易,广东省深圳市,--,平台失联,https://www.p2peye.com/thread-949389-1-1.html,1000万元人民币,杨永生,不详,198人,837.51 万元,不详,连续多日联系不上
2017/3/29,鼎兴财富,浙江省台州市,--,平台失联,https://www.p2peye.com/thread-969553-1-1.html,2000万元人民币,徐景虎,不详,不详,不详,不详,网站无法访问
2017/2/14,易小贷,山东省济宁市,2014/9/14,良性退出,https://www.p2peye.com/thread-948455-1-1.html,100万元人民币,张令兵,2016年12月15日,不详,不详,不详,发布停运公告
2017/2/14,盛益贷,浙江省衢州市,2016/7/6,平台失联,https://www.p2peye.com/thread-948490-1-1.html,5000万元人民币,江超其,不详,不详,不详,不详,网站无法访问
