数据分析工程师,/intern/inn_dqg8wrrfxjfg,中广核俊尔,质量,温州,130-160/天,6天/周,4个月,1、负责公司成品的检测和鉴定工作；2、负责客户公司质量问题的追踪反馈；3、负责检测数据的分析建模。要求：化学、化工类专业应届本科毕业生；掌握一种或几种检测工具；良好的沟通协调能力。,2018-06-14,负责 检测工具 检测 化工类 建模 应届 本科 成品 追踪 反馈 毕业生 鉴定 几种 公司 沟通 协调 专业 掌握 化学 客户
数据分析师,/intern/inn_9pikpydydskw,趣加电子竞技俱乐部,软件,上海,100-150/天,3天/周,3个月,"岗位描述电子竞技游戏拥有庞大的数据，根据各种游戏的各种战斗场景数据，以及本身游戏的各种数值作为源数据，追求极致的战斗胜利技巧，可为您提供充分的专业发挥空间，让您有可能成为全球最顶级战队的数据分析师。 1、根据具体竞技游戏设计、开发合适的数据评估模型及指标体系，及时监控发现业务发展中遇到的各种问题； 2、对产品业务问题进行逻辑抽象，将现实业务问题转化为逻辑、可量化问题，并进行相应的数学建模； 3、从逻辑、模型角度，思考提出产品的潜在优化策略，并通过实验等量化评估方式，进行策略的有效性确认； 4、评估各种策略的实证效果及因果关系分析，支持产品决策，驱动产品体验优化及业务快速增长。岗位要求1、211本科及以上学历,应用数学、统计学、数量经济学、应用经济学、运筹学等数据科学相关专业； 2、严谨的逻辑思维能力和扎实的数理专业知识基础； 3、较强的动手实现能力，熟练使用R/Python/Matlab等相关统计数学软件的一种； 4、具备自我驱动的研究热情，有学术研究成果发表者优先考虑。",2018-06-15,游戏 数据 各种 逻辑 评估 业务 数学 产品 策略 问题 量化 岗位 驱动 经济学 优化 模型 战队 专业 战斗 电子竞技
数据分析师,/intern/inn_ao6olwfp8k5n,国德网络,商务,上海,180-270/天,5天/周,20个月,1、负责业务部门各项销售业绩数据的核对、统计、分析、管理等工作；2、及时、准确，提供反馈各项目数据的分析情况以完善的表格呈现展示给上级管理人员；3、负责各类数据的整理，及时向本公司领导及有关部门上报信息数据，做好相关记录。任职资格：1、大专以上学历，数学、计算机、统计学相关专业优先；2、熟悉Excel的使用，熟练使用图表及函数功能；3、了解基础的数据分析方法，有相关数据可工作经验者优先。,2018-06-13,数据 优先 相关 向本 Excel 及时 负责 以上学历 大专 业务部门 数据分析 分析 核对 表格 统计学 图表 使用 熟练 工作 管理人员
数据分析师,/intern/inn_fc35herr2t5a,精锐教育,分析/调研,北京,180-200/天,6天/周,3个月,此岗位为全职岗位岗位职责：1、深入了解业务，挖掘业务问题&痛点，通过商业分析为相关部门提供数据&运营策略支持； 2、善于整理数据和分析数据，总结数据的波动情况，对异常数据进行及时预警，定期形成相关的报表； 3、结合业务需求，进行相关数据的提取、过滤和分析。任职要求：1、女、本科学历以上，有相关数据运营&分析经验优先；2、懂业务逻辑，了解财务知识，会表达，愿配合； 3、熟练使用SQL语句、Excel、PPT等，会建数据模型，能高效的与数据技术团队进行沟通； 4、较好的数据敏感度，有运营思维，善于从复杂数据中找重点；5、较好的抗压能力、沟通能力和业务学习能力。,2018-06-16,数据 运营 业务 分析 相关 岗位 能力 善于 沟通 数据模型 痛点 业务学习 本科学历 SQL Excel PPT 会建 岗位职责 提供数据 抗压
数据分析员,/intern/inn_4kbccqpagkz9,家乐福,快消,上海,150-250/天,5天/周,6个月,1.针对不同类别的数据进行统计、分析，并编制报表2.配合公司相关项目需求，及时提交分析报告3.与各部门合作完成相关数据整理、分析，及时提供数据支持岗位要求1.有数据分析实际工作经验优先，应届毕业生亦可2.对数据有足够的敏感性，独立思考能力强3.具有良好的沟通能力和团队协作能力备注：岗位可留用,2018-06-11,岗位 能力 分析 数据 及时 提供数据 留用 独立思考 应届 备注 数据分析 相关 敏感性 报表 协作 类别 毕业生 亦可 提交 优先
数据分析师,/intern/inn_qloyjpuit8od,福利金融,数据挖掘,广州,90-120/天,5天/周,8个月,岗位职责：1、建立、核对、维护公司业务数据，负责数据统计和处理工作；2、完成业务数据的收集、整理和统计，并定期形成数据统计报表；3、发现业务及数据问题，提出优化建议；4、完成领导交给的其他相关工作任务。任职要求：1、专科及以上学历，有一定数据统计工作经验，应届毕业生亦可；2、熟练使用office办公软件；3、工作细致耐心，逻辑思维强，具备良好的团队合作精神；4、热爱工作，敬业、勤恳，乐于思考，具有自我发展的主观愿望和自我学习能力。,2018-06-30,数据 统计 工作 业务 自我 office 热爱工作 岗位职责 勤恳 以上学历 逻辑思维 敬业 应届 完成 专科 核对 乐于 熟练 报表 毕业生
数据分析专员,/intern/inn_yfv3r2amsp4h,伽蓝集团,销售支持,上海,80-100/天,5天/周,3个月,所属部门：1、负责销售数据系统的日常数据更新维护；2、负责销售报表的整理和各类统计工作;3、负责销售数据系统的信息更新，并解决日常工作中出现的系统故障问题。任职要求：1、有一定的电脑基础，并熟练使用office等办公软件；2、对数据敏感，有良好的逻辑思维能力；3、积极主动、做事细心、具备良好的沟通协调能力。​​,2018-06-12,数据系统 负责 销售 日常 更新 office 良好 系统故障 逻辑思维 积极主动 能力 数据 熟练 细心 报表 工作 做事 办公 任职 电脑
数据分析员,/intern/inn_8tdvsc2e1sit,耘蜂语,金融,广州,100-150/天,4天/周,5个月,该职位接受暑期实习&长期实习。聚英金融高校联盟：是一个高校投资爱好者的交流平台，专注金融投资教育，以及高校创业项目交流的青年投资俱乐部，旨在为华南地区大学生提供最专业的金融投资教育，最前端的金融人脉圈。数据分析团队致力于通过最前沿的金融科技，并且利用私募机构的数据运算模型，统计各种交易信号出现条件，结合实际交易数据，构建我们庞大的交易数据库，实现数据量化。任职要求：一、对金融投资领域有浓厚的兴趣，立志在该行业长期发展。全日制统招本科或以上学历，金融工科等相关专业毕业，具备证券从业资格证，投顾证者优先考虑；二、具备国内A股，商品期货等相关分析或学习经验，具备基本分析能力，有独立分析系统的优先考虑；三、接受公司技术团队完整的技术课程培训，分析系统培训，在公司技术顾问的指导以及结合自身的观点，完成每月任务，为客户服务。四、抗压能力强、以客观数据为主的分析心态、超强的学习能力与适应环境能力、随机应变能力要非常强。五、优胜劣汰，我们致力培养菁英而非庸才，如果你对自己的实力有信心，欢迎挑战！,2018-06-09,金融 能力 分析 高校 投资 数据 具备 实习 优先 交易 培训 团队 菁英 专业 证者 聚英 统招 投顾 A股 创业项目
数据分析助理,/intern/inn_775ivnuwijpg,瀚农网络,产品运营,广州,60-120/天,5天/周,6个月,职位描述：工作职责：1、负责整理、保存店铺、供应商数据、行业数据；2、协助其他岗位进行数据的提取；3、负责简单数据分析统计处理；4、负责外部数据分析类文档的搜集与整理。5、对数据进行分析与核对；6、 部门领导安排的其他工作；任职要求：1、大专及以上学历；2.、能熟练使用办公软件进行统计，需要熟悉常用Excel功能；3、能在有培训的情况下，迅速掌握软件系统的相应操作；4、严谨的逻辑思维能力、学习能力、言语表达能力；5、应届或在校实习生（实习生需要全职上班）；素质要求：1、积极主动、工作认真、工作严谨；2、学习能力强，善于分析思考问题，有较强的执行能力；3、高度责任心和良好的信息安全意识、保密意识。,2018-06-12,数据分析 能力 数据 负责 工作 严谨 实习生 意识 整理 Excel 学习 统计 进行 全职 表达能力 以上学历 大专 软件系统 逻辑思维 思考问题
大数据分析,/intern/inn_hzgghhnprkr5,得迈科技,云计算/大数据,天津,50-60/天,3天/周,8个月,"职位描述：1）基于公司数据，运用数据挖掘的理论方法，准确、快速处理数据； 2）深入理解业务部门提出的数据分析需求； 3）基于对业务的深度理解，能在指导下建立数据模型。 
职位要求： 1、对大数据分析有浓厚兴趣，硕士优先； 2、可以或能快速学习使用SQL软件做相关统计及分析，会使用python编程者优先； 3、对Hadoop、Hive、Kylin等大数据技术有相关了解者优先；4、工作主动、积极、团结协作、责任感强、并且愿意接受挑战； 工作时间：9:30--16:00 周末双休.其他按照国家法定节假日。",2018-12-10,优先 数据分析 职位 数据 双休 基于 数据挖掘 数据模型 理解 对大 SQL python Hadoop Hive Kylin 30 16 00 快速 浓厚兴趣
数据分析助理,/intern/inn_wo26qyptjkm6,斯达领科,分析/调研,深圳,150-200/天,5天/周,4个月,岗位职责：1、负责各站点后台销售数据提取；2、对各站点销售情况进行统计分析，对市场分布情况、重点商品结构、利润结构进行分析；3、进行数据监测、数据分析、总结规律，提出优化建议，异常数据解读挖掘，做实时异常提醒；4、负责制作各平台日、周、月度的销售分析报表，和多维度完成各渠道数据整理分析报表。任职要求：1、本科以上学历，数学、统计学、计算机等相关专业，接受优秀应届毕业生；2.、熟悉一种常用的数据分析工具，如Tableau，SPSS，SAS，EXCEL等；3、熟练使用SQL，Python，R等分析工具；4、较强的数据分析能力，善于从海量数据中总结规律；敏锐的观察力，及时根据数据发现问题，有丰富的数据分析、挖掘、清洗和建模的经验；5、具有良好的文档编写能力，能依据数据分析结果编写专业的分析研究报告；6、具备良好的业务理解能力、逻辑思维和表达能力，善于交流，工作态度认真，积极主动，有责任感，有良好的团队精神。,2018-06-30,数据分析 数据 分析 站点 良好 报表 编写 销售 挖掘 善于 总结 专业 多维度 工具 规律 异常 Tableau SPSS SAS EXCEL
数据分析师,/intern/inn_j9ag7hpmkwav,第一财经,咨询/顾问,上海,100-120/天,3天/周,6个月,-岗位职责：ü 行业资讯、品牌动向日常追踪ü 协助分析师完成项目相关的行业背景资料收集，前期案头研究及案例收集，并整理成相关文档ü 协助管理团队日常文件管理工作ü 协助报告校对与审核ü 数据库标签清理与合并，协助数据分析团队建立外部数据库ü 其他分析师安排的临时工作-岗位要求:ü 2018、2019届本科及以上学历，能保证3-6个月兼职实习（每周至少连续3天），能提供6个月以上全职实习者优先ü 对美妆、母婴、服装行业感兴趣，对行业有一定积累者优先ü 具备较强的逻辑思考和数量分析能力ü 具备优秀的信息搜集、整合能力，有良好的写作能力和表达能力ü 熟练使用MS OFFICE，有SQL、R、Python或其他统计软件相关经验优先ü 做事细心，诚实敬业、有团队合作精神ü 有咨询类，互联网大数据类实习经验优先-岗位福利:ü 团队分析师手把手指导，接受团队分享培训ü 全面接触电商行业消费市场洞察的各个环节ü 在实践中锻炼数据分析能力，形成对大数据商业洞察的基础认识ü 优秀实习生有留任机会，可获得推荐信ü 薪资：100元/天+500元饭贴/月,2018-06-14,团队 优先 协助 实习 数据分析 洞察 数据库 分析师 岗位 能力 收集 相关 日常 行业 行业资讯 优秀 具备 写作能力 电商 2018
