['数据分析', '/intern/inn_9247ra1bff3j', b'\xee\xb2\xa0\xee\xb2\xa0\xe8\xbd\xa6', '分析/调研', '北京', '\ue8c9\ue914\ue914-\ue8c9\ue170\ue914/天', '\ue170天/周', '\uf12b个月']
['数据分析', '/intern/inn_9a5mfpgcagv4', b'\xe6\x83\x9f\xe5\xae\xb9\xef\x83\xaf\xee\xbd\x80', '咨询', '上海', '\ue8c9\ue914\ue914-\ue8c9\ue170\ue914/天', '\ue170天/周', '\uf30b个月']
['数据分析', '/intern/inn_b0kbwcngfh2a', b'\xe6\x97\xb6\xe5\x85\x89\xe6\x95\xb0\xe6\x8d\xae\xee\xaf\x8c\xee\x85\xa5\xe5\x9d\x8a', '用户研究', '上海', '\ue8c9\ue914\ue914-\uef76\ue914\ue914/天', '\ue170天/周', '\ue8c9\uef76个月']
['\uee8d\uf2e4数据分析实习\ue281/亚马逊数据分析\ue46f', '/intern/inn_nckvgfa492cq', b'\xe4\xbc\x98\xe5\x93\x81\xe6\x97\xa0\xe7\x96\x86', '分析/调研', '深圳', '\uef76\ue914\ue914-\uf12b\ue914\ue914/天', '\ue170天/周', '\uf12b个月']
['数据分析\uebcc\ueb17\ue46f', '/intern/inn_dqg8wrrfxjfg', b'\xe4\xb8\xad\xef\x83\xaf\xe6\xa0\xb8\xe4\xbf\x8a\xe5\xb0\x94', '质量', '温州', '\ue8c9\uf12b\ue914-\ue8c9\uecca\ue914/天', '\uecca天/周', '\uf30b个月']
['数据分析\ue46f', '/intern/inn_9pikpydydskw', b'\xe8\xb6\xa3\xe5\x8a\xa0\xe7\x94\xb5\xe5\xad\x90\xe7\xab\x9e\xe6\x8a\x80\xe4\xbf\xb1\xe4\xb9\x90\xe9\x83\xa8', '软件', '上海', '\ue8c9\ue914\ue914-\ue8c9\ue170\ue914/天', '\uf12b天/周', '\uf12b个月']
['数据分析\ue46f', '/intern/inn_ao6olwfp8k5n', b'\xe5\x9b\xbd\xe5\xbe\xb7\xee\x8e\x85\xe7\xbb\x9c', '商务', '上海', '\ue8c9\uf82e\ue914-\uef76\ue79f\ue914/天', '\ue170天/周', '\uef76\ue914个月']
['数据分析\ue46f', '/intern/inn_fc35herr2t5a', b'\xe7\xb2\xbe\xe9\x94\x90\xe6\x95\x99\xe8\x82\xb2', '分析/调研', '北京', '\ue8c9\uf82e\ue914-\uef76\ue914\ue914/天', '\uecca天/周', '\uf12b个月']
['数据分析员', '/intern/inn_4kbccqpagkz9', b'\xe5\xae\xb6\xe4\xb9\x90\xe7\xa6\x8f', '快消', '上海', '\ue8c9\ue170\ue914-\uef76\ue170\ue914/天', '\ue170天/周', '\uecca个月']
['数据分析\ue46f', '/intern/inn_qloyjpuit8od', b'\xe7\xa6\x8f\xe5\x88\xa9\xe9\x87\x91\xe8\x9e\x8d', '数据挖掘', '广州', '\ue0d2\ue914-\ue8c9\uef76\ue914/天', '\ue170天/周', '\uf82e个月']
['数据分析专员', '/intern/inn_yfv3r2amsp4h', b'\xe4\xbc\xbd\xe8\x93\x9d\xe9\x9b\x86\xe5\x9b\xa2', '销售支持', '上海', '\uf82e\ue914-\ue8c9\ue914\ue914/天', '\ue170天/周', '\uf12b个月']
['数据分析员', '/intern/inn_8tdvsc2e1sit', b'\xe8\x80\x98\xe8\x9c\x82\xe8\xaf\xad', '金融', '广州', '\ue8c9\ue914\ue914-\ue8c9\ue170\ue914/天', '\uf30b天/周', '\ue170个月']
['数据分析助理', '/intern/inn_775ivnuwijpg', b'\xe7\x80\x9a\xe5\x86\x9c\xee\x8e\x85\xe7\xbb\x9c', '产品运营', '广州', '\uecca\ue914-\ue8c9\uef76\ue914/天', '\ue170天/周', '\uecca个月']
['大数据分析', '/intern/inn_hzgghhnprkr5', b'\xe5\xbe\x97\xe8\xbf\x88\xe7\xa7\x91\xe6\x8a\x80', '云计算/大数据', '天津', '\ue170\ue914-\uecca\ue914/天', '\uf12b天/周', '\uf82e个月']
['数据分析助理', '/intern/inn_wo26qyptjkm6', b'\xe6\x96\xaf\xe8\xbe\xbe\xe9\xa2\x86\xe7\xa7\x91', '分析/调研', '深圳', '\ue8c9\ue170\ue914-\uef76\ue914\ue914/天', '\ue170天/周', '\uf30b个月']
['数据分析\ue46f', '/intern/inn_j9ag7hpmkwav', b'\xe7\xac\xac\xee\xad\xb2\xee\x81\x8b\xe7\xbb\x8f', '咨询/顾问', '上海', '\ue8c9\ue914\ue914-\ue8c9\uef76\ue914/天', '\uf12b天/周', '\uecca个月']
['数据分析\ue46f', '/intern/inn_z3y4opafm9nv', b'\xe9\xa3\x9f\xef\x80\xa9\xee\x8a\x81\xe9\xb2\x9c', '生产', '苏州', '\ue8c9\ue914\ue914-\uef76\ue914\ue914/天', '\ue170天/周', '\uf12b个月']
['金融数据分析', '/intern/inn_kacrx1qwgdgc', b'\xe6\x8b\x89\xe6\x99\xae\xe6\x8b\x89\xe6\x96\xaf\xee\x8e\x85\xe7\xbb\x9c\xe7\xa7\x91\xe6\x8a\x80', '云计算/大数据', '北京', '\ue8c9\ue914\ue914-\uef76\ue914\ue914/天', '\ue170天/周', '\ue170个月']
['数据分析助理', '/intern/inn_wvn52ms7ocbd', b'\xe4\xb8\xad\xe5\x9b\xbd\xe7\xbb\x8f\xe6\xb5\x8e\xe6\x94\xb9\xe9\x9d\xa9\xe4\xb8\x8e\xe5\x8f\x91\xe5\xb1\x95\xe7\xa0\x94\xe7\xa9\xb6\xe9\x99\xa2', '咨询', '北京', '\ue8c9\ue914\ue914-\uef76\ue914\ue914/天', '\ue170天/周', '\ue170个月']
['数据分析岗', '/intern/inn_8e3srpufatng', b'\xe5\x88\xa9\xe5\xae\x9d\xe4\xbf\x9d\xe9\x99\xa9', '金融', '重庆', '\ue79f\ue914-\ue8c9\ue914\ue914/天', '\uf12b天/周', '\ue170个月']
['数据分析助理', '/intern/inn_mihfobfahlrt', b'\xe4\xb8\xad\xe6\xac\xa3\xe9\x9b\x86\xe5\x9b\xa2', '风控', '北京', '\ue0d2\ue914-\ue8c9\ue8c9\ue914/天', '\uf12b天/周', '\uf12b个月']
['数据分析\ue46f', '/intern/inn_tinsxwcalg5d', b'\xe5\x8d\x97\xe7\x87\x95\xe4\xbf\x9d\xe9\x99\xa9\xe7\xa7\x91\xe6\x8a\x80', '分析/调研', '上海', '\uf12b\ue914\ue914-\ue170\ue914\ue914/天', '\ue170天/周', '\uf12b个月']
['数据分析员', '/intern/inn_ho3m5rdyfrrl', b'\xe5\x9b\xbd\xe7\xa0\x94\xee\x8e\x85', '分析师', '北京', '\ue8c9\ue914\ue914-\ue8c9\uef76\ue914/天', '\ue170天/周', '\uf12b个月']
['电商数据分析', '/intern/inn_kyurnroqcnya', b'\xee\xa6\x93\xef\x92\xa8\xef\x85\xb0\xee\x82\x87\xee\xb9\xa9 \xee\xa6\x93\xef\x92\xa8\xef\x85\xb0\xee\x82\x87\xee\xb9\xa9', '商务', '上海', '\ue8c9\ue914\ue914-\ue8c9\uf30b\ue79f/天', '\uf12b天/周', '\uf12b个月']
['数据分析助理', '/intern/inn_xfvjib4viocc', b'\xe4\xba\x91\xe5\xb8\x86\xe6\x95\xb0\xef\x84\xb9', '数据挖掘', '成都', '\ue0d2\ue914-\ue8c9\ue914\ue914/天', '\ue170天/周', '\ue8c9\ue914个月']
['数据分析\ue46f', '/intern/inn_vd7jtpae03j3', b'\xe4\xb9\x90\xe8\x81\x8c\xee\x8e\x85', '数据挖掘', '合肥', '\ue8c9\ue914\ue914-\uef76\ue914\ue914/天', '\ue170天/周', '\ue170个月']
['数据分析员', '/intern/inn_4qzwnlsfxhn3', b'\xe6\x80\x9d\xe5\xba\xa6\xe7\xa7\x91\xe6\x8a\x80', '分析/调研', '南京', '\ue8c9\uf82e\ue914-\uef76\uef76\ue914/天', '\ue170天/周', '\ue79f个月']
['数据分析\ue46f', '/intern/inn_vbi8gsg9innq', b'\xe8\xb4\xaa\xe7\x8e\xa9\xe6\xb8\xb8\xe6\x88\x8f', '分析/调研', '广州', '\ue8c9\uef76\ue914-\ue8c9\ue170\ue914/天', '\ue170天/周', '\uf82e个月']
['数据分析\ue46f', '/intern/inn_ho4vauqxrblw', b'\xe6\x8e\x8c\xe9\x98\x85\xef\x9e\x8e\xee\xa2\xb7\xee\xb9\xa9\xef\x92\xa8\xee\x8d\x9f\xee\xb9\xa9\xef\x85\x8e', '用户研究', '北京', '\uef76\ue914\ue914-\uef76\uf12b\ue914/天', '\uf30b天/周', '\ue8c9\ue914个月']
