岗位名称	链接	公司	类型	地点	薪水/天	每周最少实习天数	最短实习月份
数据分析实习	/intern/inn_w3c3uisoiufx	利通研究院	软件	广州	80-100/天	3天/周	4个月
数据分析工?师	/intern/inn_cevexdfeeoqj	中博研究院	咨询/顾问	南京	100-150/天	4天/周	3个月
数据分析师	/intern/inn_wrouoqjbyfjx	大公信	金融	北京	100-150/天	5天/周	4个月
数据分析员	/intern/inn_xi1b5fbqyt8c	和君纵达	财务	合肥	100-194/天	5天/周	3个月
数据分析师	/intern/inn_9wpnmot67avx	中评信用	数据库	北京	120-150/天	4天/周	9个月
数据分析师	/intern/inn_fgdpxcdwsacw	大公国际	金融	北京	6-12/天	5天/周	15个月
数据运营/数据分析师	/intern/inn_s2zsvbewcdiu	58安居客	运营	佛山	80-81/天	5天/周	3个月
业务分析&数据分析助理	/intern/inn_m38ixojtnye3	德勤管理咨询	数据挖掘	北京	139-140/天	4天/周	3个月
数据分析师/投资分析师	/intern/inn_qayheuuxlcay	耀晟投资	分析师	佛山	99-100/天	5天/周	15个月
数据仓库与数据分析实习	/intern/inn_nxszdob7kzig	今日头条	数据挖掘	北京	280-320/天	4天/周	3个月
务分析／数据分析实习	/intern/inn_a0i7m6uu2cd5	蓝标电商	财务	北京	100-110/天	4天/周	4个月
数据分析/数据挖掘实习	/intern/inn_hklswn5iirfh	欢聚时代（多玩??）	数据挖掘	珠海	80-120/天	3天/周	6个月
数据分析实习	/intern/inn_tiztcdmkxr6d	滴滴出行	用户研究	北京	150-200/天	5天/周	6个月
数据分析实习	/intern/inn_s11f29mki3fd	北京嘀嘀	运营	北京	150-200/天	5天/周	6个月
数据分析实习	/intern/inn_azlqeqghoaf1	爱智康	软件	北京	120-150/天	4天/周	3个月
数据分析实习	/intern/inn_t5hcpmfoknqf	探迹	云计算/大数据	广州	80-150/天	4天/周	10个月
数据分析实习	/intern/inn_ipjagqp8k3vr	美团网	产品运营	北京	150-250/天	5天/周	4个月
数据分析实习	/intern/inn_coxdfv9xxwrp	酷方	运营	武汉	40-80/天	3天/周	6个月
数据分析实习	/intern/inn_tzssvqnp7zhz	同人法律传媒	软件	武汉	80-100/天	5天/周	4个月
数据分析实习	/intern/inn_doloqoureqwi	柠檬微趣	数据库	北京	150-250/天	3天/周	3个月
数据分析助理实习	/intern/inn_gvrtzhp5w4ti	趣加电子竞技俱乐部	运营	上海	100-150/天	3天/周	3个月
数据分析实习	/intern/inn_nn80bwseqjzq	柠檬微趣	数据库	北京	150-250/天	4天/周	9个月
数据分析实习	/intern/inn_txgc0tjltmwm	上海时?	软件	上海	150-200/天	5天/周	7个月
初级数据分析师	/intern/inn_rk1eafn0ari9	宜信	数据挖掘	北京	120-180/天	3天/周	6个月
数据分析实习	/intern/inn_jqph0ith6s1v	滴滴出行	运营	北京	200-260/天	4天/周	6个月
数据分析与咨询	/intern/inn_xmrpwxjzoesf	?T?	市场	北京	100-180/天	4天/周	5个月
数据分析实习	/intern/inn_q2gsifs0uxqy	萌牙	数据挖掘	宁波	120-180/天	5天/周	9个月
数据分析实习	/intern/inn_utbw6tjfdkmg	友金所	分析师	深圳	300-500/天	5天/周	7个月
数据分析师 实习	/intern/inn_k5qpk9d58rzw	出类	分析师	上海	100-200/天	4天/周	8个月
数据分析实习	/intern/inn_m3uxc1g9ytkm	易车网	云计算/大数据	北京	150-200/天	4天/周	3个月
数据分析实习	/intern/inn_9s4k0heybp5b	有米科技	产品	广州	60-100/天	3天/周	3个月
数据分析实习	/intern/inn_o8cpesavvova	上海国际广告展览	数据库	杭州	120-150/天	5天/周	3个月
数据分析实习	/intern/inn_cmu0cwztqreh	上海国际广告展览	市场	上海	100-150/天	4天/周	6个月
数据分析实习	/intern/inn_nypaj9wcxtni	亿翰股份	分析/调研	上海	100-120/天	3天/周	13个月
数据分析实习	/intern/inn_hxwrsy6m8mnv	?点资讯	数据库	北京	150-180/天	5天/周	4个月
数据分析实习	/intern/inn_fzkjtmrdazu4	?点资讯	数据库	北京	150-180/天	5天/周	6个月
数据分析实习	/intern/inn_sfglqu9byrbl	?点资讯	Python	北京	150-180/天	5天/周	6个月
数据分析实习	/intern/inn_i1qbagmtlsbf	珀金埃尔默	云计算/大数据	上海	124-145/天	3天/周	6个月
??网数据分析员	/intern/inn_mgynl5oshxcz	云润大数据	分析/调研	北京	100-200/天	5天/周	6个月
数据分析实习	/intern/inn_fzfrozgursyi	上海翼依	产品助理	上海	100-150/天	4天/周	8个月
数据分析实习	/intern/inn_jpbjff0tbxug	奥思礼礼宾	客服	北京	144-200/天	2天/周	3个月
数据分析实习	/intern/inn_paqkys4mb42a	?安永	金融	北京	140-141/天	4天/周	3个月
数据分析实习	/intern/inn_exwm2jhyhp5c	京东金融	数据库	北京	120-180/天	5天/周	4个月
数据分析实习	/intern/inn_sez58slaqlgl	瓜子?手车直卖网	用户研究	北京	220-280/天	5天/周	6个月
数据分析实习	/intern/inn_s4gethtzrqaz	瓜子?手车直卖网	Python	北京	220-300/天	5天/周	8个月
数据分析师助理	/intern/inn_4broryqv21rs	地比图科技	云计算/大数据	"青岛,济南"	280-380/天	5天/周	4个月
数据分析实习	/intern/inn_yjp2b7g7egzf	拜耳	生物医疗	北京	100-150/天	4天/周	4个月
数据分析实习	/intern/inn_bcj1uawlymwt	万合?宜	分析/调研	北京	100-120/天	5天/周	6个月
实习数据分析专员	/intern/inn_3hybjww2bxbv	优渥瑞新材料	分析/调研	苏州	120-150/天	4天/周	4个月
数据分析实习	/intern/inn_g0lw2aficylu	资产360	云计算/大数据	北京	100-200/天	5天/周	6个月
数据分析实习	/intern/inn_l4braqk34tyy	维益食品	行政	上海	100-120/天	3天/周	6个月
数据分析实习	/intern/inn_d1draj1kpejk	中知??	分析/调研	北京	120-160/天	4天/周	4个月
数据分析实习	/intern/inn_6fg15dshcphr	棒谷	物流	广州	130-150/天	6天/周	8个月
数据分析实习	/intern/inn_comnpomzwvrs	国双科技	分析/调研	"广州,深圳"	120-150/天	3天/周	2个月
数据分析师助理	/intern/inn_rclssj9ewb5h	铭垚信息科技	云计算/大数据	上海	80-160/天	3天/周	3个月
䜩S数据分析工?师	/intern/inn_vrfyix8enn53	SG??_??	机械制造	上海	120-150/天	5天/周	7个月
金融数据分析师	/intern/inn_x8kjwc3lfdcg	玛瑙数据	软件	上海	100-200/天	5天/周	3个月
数据分析实习	/intern/inn_hazfbaos7wok	势必可赢Sp????	云计算/大数据	深圳	150-250/天	5天/周	5个月
数据分析实习	/intern/inn_unycu9eglfzb	有利网	金融	北京	120-200/天	3天/周	3个月
数据分析师助理	/intern/inn_p330ltfmmeik	赫狮网络	产品助理	上海	150-151/天	3天/周	6个月
助理数据分析师	/intern/inn_3qbkqlvqr6pp	新意?动	分析/调研	北京	100-150/天	5天/周	4个月
数据分析实习	/intern/inn_zcd0gzkjohqf	同盾科技	数据挖掘	杭州	115-138/天	3天/周	3个月
数据分析实习	/intern/inn_zo2yk4zw5ykn	顺丰科技	咨询	深圳	150-200/天	5天/周	2个月
数据分析实习工?师	/intern/inn_bpyop2kf7dmq	云账房	云计算/大数据	南京	100-150/天	5天/周	5个月
数据分析实习	/intern/inn_tlnsisy3dihm	猫眼电影	运营	北京	120-160/天	4天/周	6个月
数据分析实习	/intern/inn_pjpo1p8phkvx	洋葱数学	云计算/大数据	北京	100-200/天	4天/周	6个月
